source_pack,source_file,target_repo_path,status
F1_GitHub_OpenF1_Auto_Ingest_Process_Pack_2026-06-09.zip,.github/workflows/openf1-high-frequency-auto-ingest.yml,.github/workflows/openf1-high-frequency-auto-ingest.yml,copied
F1_GitHub_OpenF1_Auto_Ingest_Process_Pack_2026-06-09.zip,.github/workflows/openf1-post-event-reliability-metric.yml,.github/workflows/openf1-post-event-reliability-metric.yml,copied
F1_GitHub_OpenF1_Auto_Ingest_Process_Pack_2026-06-09.zip,scripts/openf1/openf1_high_frequency_auto_ingest.py,scripts/openf1/openf1_high_frequency_auto_ingest.py,copied
F1_GitHub_OpenF1_Auto_Ingest_Process_Pack_2026-06-09.zip,tests/validate_openf1_high_frequency_output.py,tests/validate_openf1_high_frequency_output.py,copied
F1_GitHub_OpenF1_Auto_Ingest_Process_Pack_2026-06-09.zip,configs/openf1/openf1_high_frequency_ingest_policy.json,configs/openf1/openf1_high_frequency_ingest_policy.json,copied
F1_GitHub_OpenF1_Auto_Ingest_Process_Pack_2026-06-09.zip,requirements-openf1-ingest.txt,requirements-openf1-ingest.txt,copied
F1_GitHub_OpenF1_Auto_Ingest_Process_Pack_2026-06-09.zip,README_GITHUB_OPENF1_AUTO_INGEST.md,docs/README_GITHUB_OPENF1_AUTO_INGEST.md,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/scripts/weekend_run_orchestrator.py,scripts/weekend_run_orchestrator.py,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/scripts/append_locked_forecast_ledger_v2.py,scripts/append_locked_forecast_ledger_v2.py,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/scripts/track_zone_mapper.py,scripts/track_zone_mapper.py,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/scripts/fantasy_value_backtester.py,scripts/fantasy_value_backtester.py,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/scripts/model_disagreement_board_scorer.py,scripts/model_disagreement_board_scorer.py,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/scripts/automatic_promotion_demotion_controller.py,scripts/automatic_promotion_demotion_controller.py,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/workflows/elite-weekend-engine-run.yml,.github/workflows/elite-weekend-engine-run.yml,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/configs/elite_operational_proof_pattern_control_full7_policy.json,configs/elite/elite_operational_proof_pattern_control_full7_policy.json,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/configs/weekend_run_orchestrator_policy.json,configs/elite/weekend_run_orchestrator_policy.json,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/configs/automatic_promotion_demotion_controller_v1.json,configs/elite/automatic_promotion_demotion_controller_v1.json,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/schemas/locked_forecast_ledger_v2_schema.json,schemas/locked_forecast_ledger_v2_schema.json,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/schemas/dnf_all_precursor_board_schema.json,schemas/dnf_all_precursor_board_schema.json,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/schemas/track_zone_map_v1_schema.json,schemas/track_zone_map_v1_schema.json,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/schemas/fantasy_value_backtester_v1_schema.json,schemas/fantasy_value_backtester_v1_schema.json,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/schemas/model_disagreement_board_v1_schema.json,schemas/model_disagreement_board_v1_schema.json,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/templates/locked_forecast_ledger_v2_template.csv,templates/locked_forecast_ledger_v2_template.csv,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/templates/dnf_all_precursor_board_template.csv,templates/dnf_all_precursor_board_template.csv,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/templates/track_zone_map_template.csv,templates/track_zone_map_template.csv,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/templates/fantasy_value_backtester_template.csv,templates/fantasy_value_backtester_template.csv,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/templates/model_disagreement_board_template.csv,templates/model_disagreement_board_template.csv,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/templates/promotion_demotion_controller_template.csv,templates/promotion_demotion_controller_template.csv,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/workbook_bridge/elite_control_room_export_manifest.csv,workbook_bridge/elite_control_room_export_manifest.csv,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/ledgers/locked_forecast_ledger_v2.jsonl,ledgers/locked_forecast_ledger_v2.jsonl,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/reports/Elite_Operational_Proof_Pattern_Control_FULL7_Report_2026-06-10.md,docs/Elite_Operational_Proof_Pattern_Control_FULL7_Report_2026-06-10.md,copied
generated,requirements-f1-engine-automation.txt,requirements-f1-engine-automation.txt,generated
generated,F1_GITIGNORE_BLOCK.txt,.gitignore append block,generated
