event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,1,L NORRIS,McLaren,6,1,2.20433,0.2604,0.4464,0.6076,0.063,0.62,1.0,0.063,0.335,0.7619,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,3,M VERSTAPPEN,Red Bull Racing,3,2,2.737289,0.21997,0.40392,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.9048,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,6,I HADJAR,Red Bull Racing,8,3,3.490289,0.18581,0.36548,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.6667,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,12,K ANTONELLI,Mercedes,2,4,4.089942,0.15696,0.3307,0.60369,0.0662,0.62,1.0,0.0662,0.357,0.9524,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,16,C LECLERC,Ferrari,4,5,4.406636,0.13258,0.29923,0.59211,0.0646,0.62,1.0,0.0646,0.346,0.8571,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,36,A IWASA,Red Bull Racing,,6,6.370289,0.112,0.27076,0.57297,0.0654,0.62,1.0,0.0654,0.3515,0.2381,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,38,D BEGANOVIC,Ferrari,,7,6.478636,0.09461,0.24499,0.5424,0.0646,0.62,1.0,0.0646,0.346,0.1905,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,5,G BORTOLETO,Audi,12,8,6.73294,0.07992,0.22168,0.49626,0.079,0.62,1.0,0.079,0.478,0.4762,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,44,L HAMILTON,Ferrari,1,9,7.284636,0.06751,0.20058,0.43218,0.0646,0.62,1.0,0.0646,0.346,1.0,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,14,F ALONSO,Aston Martin,20,10,7.54039,0.05702,0.18149,0.35278,0.079,0.62,1.0,0.079,0.445,0.0952,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,11,S PEREZ,Cadillac,18,11,7.78894,0.04817,0.16422,0.26722,0.079,0.62,1.0,0.079,0.478,0.1905,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,18,L STROLL,Aston Martin,21,12,8.09439,0.04069,0.14859,0.18782,0.079,0.62,1.0,0.079,0.445,0.0476,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,10,P GASLY,Alpine,11,13,8.347532,0.03437,0.13445,0.12374,0.0902,0.62,1.0,0.0902,0.522,0.5238,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,25,C HERTA,Cadillac,,14,8.40294,0.02903,0.12166,0.0776,0.079,0.62,1.0,0.079,0.478,0.4762,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,67,L FORNAROLI,McLaren,,15,8.47033,0.02453,0.11008,0.04703,0.063,0.62,1.0,0.063,0.335,-0.2381,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,34,J CRAWFORD,Aston Martin,,16,8.56039,0.02072,0.09961,0.02789,0.079,0.62,1.0,0.079,0.445,0.2857,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,23,A ALBON,Williams,22,17,8.974002,0.0175,0.09013,0.0186,0.0822,0.62,1.0,0.0822,0.467,0.0,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,63,G RUSSELL,Mercedes,5,18,9.040942,0.01478,0.08155,0.0186,0.0662,0.62,1.0,0.0662,0.357,0.8095,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,72,F VESTI,Mercedes,,19,9.299942,0.01249,0.07379,0.0186,0.0662,0.62,1.0,0.0662,0.357,-0.2857,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,27,N HULKENBERG,Audi,13,20,9.30494,0.01055,0.06677,0.0186,0.079,0.62,1.0,0.079,0.478,0.4286,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,81,O PIASTRI,McLaren,7,21,9.58433,0.00891,0.06041,0.0186,0.063,0.62,1.0,0.063,0.335,0.7143,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,30,L LAWSON,Racing Bulls,9,22,9.94292,0.00753,0.05466,0.0186,0.087,0.62,1.0,0.087,0.5,0.619,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,31,E OCON,Haas F1 Team,17,23,10.306614,0.00636,0.04946,0.0186,0.0854,0.62,1.0,0.0854,0.489,0.2381,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,46,L BROWNING,Williams,,24,10.647002,0.00537,0.04476,0.0186,0.0822,0.62,1.0,0.0822,0.467,0.0,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,41,A LINDBLAD,Racing Bulls,10,25,11.25392,0.00454,0.0405,0.0186,0.087,0.62,1.0,0.087,0.5,0.5714,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,50,R HIRAKAWA,Haas F1 Team,,26,11.475614,0.00383,0.03664,0.0186,0.0854,0.62,1.0,0.0854,0.489,-0.0476,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,55,C SAINZ,Williams,15,27,11.906002,0.00324,0.03316,0.0186,0.0822,0.62,1.0,0.0822,0.467,0.3333,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,43,F COLAPINTO,Alpine,14,28,12.280532,0.00273,0.03,0.0186,0.0902,0.62,1.0,0.0902,0.522,0.381,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,61,P ARON,Alpine,,29,12.848532,0.00231,0.02715,0.0186,0.0902,0.62,1.0,0.0902,0.522,-0.1429,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,97,P ARON,Audi,,30,13.62794,0.00195,0.02456,0.0186,0.079,0.62,1.0,0.079,0.478,-0.5238,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,77,V BOTTAS,Cadillac,19,31,13.65494,0.00165,0.02222,0.0186,0.079,0.62,1.0,0.079,0.478,0.1429,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,90,A IWASA,Racing Bulls,,32,14.05292,0.00139,0.02011,0.0186,0.087,0.62,1.0,0.087,0.5,-0.4762,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,87,O BEARMAN,Haas F1 Team,16,33,14.312614,0.00124,0.0182,0.0186,0.0854,0.62,1.0,0.0854,0.489,0.2857,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
