date,session_key,driver_number,pit_duration,meeting_key,stop_duration,lap_number,lane_duration
2026-06-13T10:30:03.112000+00:00,11302,77,,1287,,1,
2026-06-13T10:30:07.799000+00:00,11302,11,,1287,,1,
2026-06-13T10:35:28.558000+00:00,11302,77,27.0,1287,,4,27.0
2026-06-13T10:35:42.022000+00:00,11302,11,29.1,1287,,4,29.1
2026-06-13T10:40:03.900000+00:00,11302,27,,1287,,1,
2026-06-13T10:46:41.187000+00:00,11302,27,101.6,1287,,4,101.6
2026-06-13T10:47:48.543000+00:00,11302,55,,1287,,1,
2026-06-13T10:48:06.602000+00:00,11302,23,,1287,,1,
2026-06-13T10:48:20.193000+00:00,11302,87,,1287,,1,
2026-06-13T10:48:27.568000+00:00,11302,31,,1287,,1,
2026-06-13T10:48:52.079000+00:00,11302,18,,1287,,1,
2026-06-13T10:49:28.141000+00:00,11302,5,,1287,,1,
2026-06-13T10:49:31.375000+00:00,11302,14,,1287,,1,
2026-06-13T10:49:44.359000+00:00,11302,1,,1287,,1,
2026-06-13T10:50:42.113000+00:00,11302,43,,1287,,1,
2026-06-13T10:50:51.949000+00:00,11302,16,,1287,,1,
2026-06-13T10:52:10.335000+00:00,11302,30,,1287,,1,
2026-06-13T10:52:17.379000+00:00,11302,41,,1287,,1,
2026-06-13T10:52:26.537000+00:00,11302,77,726.8,1287,,7,726.8
2026-06-13T10:53:17.523000+00:00,11302,81,,1287,,1,
2026-06-13T10:53:38.483000+00:00,11302,10,,1287,,1,
2026-06-13T10:53:57.951000+00:00,11302,27,113.7,1287,,7,113.7
2026-06-13T10:54:02.011000+00:00,11302,23,28.0,1287,,4,28.0
2026-06-13T10:54:40.175000+00:00,11302,6,,1287,,1,
2026-06-13T10:55:02.797000+00:00,11302,3,,1287,,1,
2026-06-13T10:55:17.235000+00:00,11302,1,32.4,1287,,4,32.4
2026-06-13T10:55:40.060000+00:00,11302,55,29.1,1287,,5,29.1
2026-06-13T10:55:53.903000+00:00,11302,63,,1287,,1,
2026-06-13T10:56:14.626000+00:00,11302,12,,1287,,1,
2026-06-13T10:56:26.854000+00:00,11302,44,,1287,,1,
2026-06-13T10:56:49.901000+00:00,11302,11,871.4,1287,,8,871.4
2026-06-13T10:57:19.195000+00:00,11302,14,23.9,1287,,5,23.9
2026-06-13T10:59:01.070000+00:00,11302,87,310.6,1287,,4,310.6
2026-06-13T10:59:50.593000+00:00,11302,18,24.7,1287,,7,24.7
2026-06-13T11:00:14.308000+00:00,11302,16,261.5,1287,,4,261.5
2026-06-13T11:00:16.793000+00:00,11302,31,384.5,1287,,4,384.5
2026-06-13T11:00:41.006000+00:00,11302,5,401.3,1287,,4,401.3
2026-06-13T11:00:48.337000+00:00,11302,11,28.0,1287,,10,28.0
2026-06-13T11:01:47.684000+00:00,11302,10,152.2,1287,,4,152.2
2026-06-13T11:02:11.054000+00:00,11302,41,289.6,1287,,4,289.6
2026-06-13T11:02:13.465000+00:00,11302,14,69.5,1287,,7,69.5
2026-06-13T11:03:08.323000+00:00,11302,43,416.3,1287,,4,416.3
2026-06-13T11:09:04.013000+00:00,11302,81,665.0,1287,,4,665.0
2026-06-13T11:09:08.826000+00:00,11302,12,474.8,1287,,4,474.8
2026-06-13T11:09:14.476000+00:00,11302,3,554.2,1287,,4,554.2
2026-06-13T11:09:20.460000+00:00,11302,41,719.0,1287,,6,719.0
2026-06-13T11:09:22.304000+00:00,11302,43,790.2,1287,,5,790.2
2026-06-13T11:09:24.942000+00:00,11302,16,812.0,1287,,7,812.0
2026-06-13T11:09:26.687000+00:00,11302,55,501.2,1287,,8,501.2
2026-06-13T11:09:30.981000+00:00,11302,30,623.7,1287,,5,623.7
2026-06-13T11:09:34.951000+00:00,11302,23,698.9,1287,,6,698.9
2026-06-13T11:09:41.894000+00:00,11302,63,524.4,1287,,4,524.4
2026-06-13T11:09:46.832000+00:00,11302,6,596.9,1287,,4,596.9
2026-06-13T11:09:50.988000+00:00,11302,14,526.7,1287,,9,526.7
2026-06-13T11:09:57.551000+00:00,11302,11,577.0,1287,,13,577.0
2026-06-13T11:10:26.760000+00:00,11302,44,391.0,1287,,5,391.0
2026-06-13T11:11:16.668000+00:00,11302,31,1044.4,1287,,7,1044.4
2026-06-13T11:12:14.868000+00:00,11302,10,779.3,1287,,6,779.3
2026-06-13T11:12:16.884000+00:00,11302,18,643.8,1287,,8,643.8
2026-06-13T11:13:10.826000+00:00,11302,31,16.8,1287,,8,16.8
2026-06-13T11:15:23.122000+00:00,11302,27,1399.0,1287,,14,1399.0
2026-06-13T11:16:35.718000+00:00,11302,63,186.7,1287,,6,186.7
2026-06-13T11:17:15.935000+00:00,11302,81,212.5,1287,,7,212.5
2026-06-13T11:17:24.868000+00:00,11302,1,792.6,1287,,10,792.6
2026-06-13T11:17:42.907000+00:00,11302,43,192.9,1287,,8,192.9
2026-06-13T11:17:47.567000+00:00,11302,12,235.6,1287,,7,235.6
2026-06-13T11:18:04.044000+00:00,11302,6,178.4,1287,,7,178.4
2026-06-13T11:18:10.402000+00:00,11302,41,246.5,1287,,9,246.5
2026-06-13T11:18:27.223000+00:00,11302,44,196.9,1287,,8,196.9
2026-06-13T11:18:33.487000+00:00,11302,30,234.1,1287,,8,234.1
2026-06-13T11:18:37.362000+00:00,11302,3,283.5,1287,,7,283.5
2026-06-13T11:18:42.516000+00:00,11302,23,214.3,1287,,9,214.3
2026-06-13T11:18:54.709000+00:00,11302,31,231.1,1287,,9,231.1
2026-06-13T11:19:01.085000+00:00,11302,87,1510.3,1287,,7,1510.3
2026-06-13T11:19:10.534000+00:00,11302,14,250.7,1287,,12,250.7
2026-06-13T11:19:26.271000+00:00,11302,18,151.6,1287,,11,151.6
2026-06-13T11:19:30.496000+00:00,11302,5,1530.9,1287,,7,1530.9
2026-06-13T11:19:33.615000+00:00,11302,10,142.7,1287,,9,142.7
2026-06-13T11:21:48.023000+00:00,11302,11,165.9,1287,,19,165.9
2026-06-13T11:21:58.391000+00:00,11302,16,356.7,1287,,11,356.7
2026-06-13T11:22:02.253000+00:00,11302,27,96.5,1287,,17,96.5
2026-06-13T11:22:06.210000+00:00,11302,6,16.6,1287,,9,16.6
2026-06-13T11:24:34.796000+00:00,11302,44,31.8,1287,,11,31.8
2026-06-13T11:25:21.437000+00:00,11302,41,127.2,1287,,12,127.2
2026-06-13T11:25:26.031000+00:00,11302,23,183.6,1287,,11,183.6
2026-06-13T11:25:31.141000+00:00,11302,30,118.9,1287,,11,118.9
2026-06-13T11:25:41.500000+00:00,11302,55,349.8,1287,,15,349.8
2026-06-13T11:26:13.913000+00:00,11302,6,28.8,1287,,11,28.8
2026-06-13T11:26:28.726000+00:00,11302,5,137.2,1287,,10,137.2
2026-06-13T11:26:31.101000+00:00,11302,10,180.1,1287,,11,180.1
2026-06-13T11:26:59.398000+00:00,11302,43,251.5,1287,,11,251.5
2026-06-13T11:27:01.835000+00:00,11302,14,159.6,1287,,15,159.6
2026-06-13T11:27:05.757000+00:00,11302,18,134.5,1287,,14,134.5
2026-06-13T11:27:37.042000+00:00,11302,16,45.4,1287,,14,45.4
2026-06-13T11:28:15.414000+00:00,11302,3,296.8,1287,,10,296.8
2026-06-13T11:28:36.513000+00:00,11302,5,18.3,1287,,11,18.3
2026-06-13T11:28:40.423000+00:00,11302,63,442.0,1287,,9,442.0
2026-06-13T11:28:45.849000+00:00,11302,12,334.4,1287,,10,334.4
2026-06-13T11:28:53.568000+00:00,11302,81,421.1,1287,,10,421.1
2026-06-13T11:29:06.355000+00:00,11302,27,145.8,1287,,20,145.8
2026-06-13T11:29:10.812000+00:00,11302,31,169.5,1287,,13,169.5
2026-06-13T11:29:13.613000+00:00,11302,87,183.4,1287,,11,183.4
2026-06-13T11:29:21.077000+00:00,11302,30,17.1,1287,,13,17.1
2026-06-13T11:29:35.235000+00:00,11302,1,442.7,1287,,13,442.7
